,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.49741991364057414,-0.01750478656697086,-0.03365144865640576,0.10256367072448133,-0.01323053964935932,0.32173139414930324,0.6233219963077373,0.595324348893972,-0.10451252587151083,-0.1471122035398347,0.3298602375769023,-0.0698617625019715,-0.17298819252709682,0.3068822737239271,0.23541271444308054,-0.47616402607039987,-0.5029759456974013,-0.46025344045845656,-0.003013902535642024,-0.493989814903997,-0.5016296654060948,-0.4949181354372476,-0.4561382001125706,-0.002109258369463578,-0.2868756467649057,-0.2962447546891277,-0.30034944694930993,-0.3000832130658069,-0.09487283177770935,-0.1671709781068224,,,,-0.12888888529738593,-0.019144409007200762,0.24348439666153068,-0.06215739448641271,0.6293952491286774,0.12935037024746168,0.5601088992487414,-0.12169836059294546,-0.14756811096467534,,-0.023423418454745423,-0.1671709781068224,,-0.6907273281612689,-0.3247323800394067,-0.21913144558373654,,-0.07842841137211765,0.5578653380808574,0.595324348893972,-0.0698617625019715,,,,,,,-0.01750478656697086,0.10256367072448133,-0.03365144865640576,-0.01323053964935932,-0.4536707758861415,-0.12967463854409605,-0.03917023348581724,-0.14404389918930427,-0.0969137010305283,-0.13844624461900334,-0.1421787217342074,-0.03808982329973761,-0.4201918812714935,-0.34598764582057356,-0.45176297359639767,-0.3583600433903053
Flow Duration,-0.49741991364057414,1.0,0.020096781621166,0.07077311594159966,0.09971094939691369,0.025452890787681093,-0.0171672912927535,-0.3112115728439445,-0.285787183038331,0.16512887046876354,0.2502911064692493,-0.1630036711810758,0.11993491319609667,0.22541309862951328,-0.15854644226378758,-0.22456453413789845,0.6904503297812785,0.7898234439798771,0.8525766108071755,0.011176752115318852,0.9992868073203567,0.7642681128215102,0.8125615570632845,0.8529805335346732,0.012008331334543655,0.7527478530567511,0.5375958380606948,0.5887609246073441,0.6697416670291543,-0.05829869866516426,-0.07686041369701166,,,,0.06398597672495476,0.007643431660328154,-0.22056832962187412,-0.05727333809495522,-0.3111996068460252,0.10343962879602098,-0.24864549541865658,0.1839673967935322,0.14952233022048794,,-0.02135266839423193,-0.07686041369701166,,0.6110881308381745,-0.23447388793908394,-0.19918232121646565,,-0.2516923383713008,-0.2602312158238063,-0.285787183038331,0.11993491319609667,,,,,,,0.020096781621166,0.09971094939691369,0.07077311594159966,0.025452890787681093,0.2863963511671867,-0.06878442776434462,0.0987288622326223,0.07169463599753637,0.18377001242432828,0.2860102647542411,0.28749870144037326,0.054421029660049525,0.8192685085925534,0.5543481628805852,0.8540403898796298,0.7318754134073552
Total Fwd Packets,-0.01750478656697086,0.020096781621166,1.0,0.18027917396193227,0.04603231212578064,0.17908145677432755,0.013397401369200836,-0.008430801454422363,-0.005793500426914693,0.014380155653508617,0.02946736340480969,-0.006134571730454551,0.03468585566715204,0.02447918893242743,-0.00505125071213587,-0.0070548677279199615,0.000982329472426708,0.004837156706352363,0.016110601856884198,-0.0003656241380865843,0.019990801368354412,0.0023320503533838465,0.006369881130336065,0.016020845642510006,-0.0003341362478124754,0.021826258541680656,0.003799681847524722,0.006376121355531421,0.01614406828378716,-0.003678441303224921,-0.0021266362840224274,,,,0.0009124896660423018,-0.0017784637075614297,-0.006917883119156219,-0.0019133093727924239,-0.008439364381213937,0.02413976157332437,0.005802963766718895,0.029212322805906653,0.031825251373644524,,-0.0006217054426104971,-0.0021266362840224274,,0.008168043594783844,-0.00770581948411771,-0.007025146856961485,,-0.0043524298276477755,0.0015986734583551614,-0.005793500426914693,0.03468585566715204,,,,,,,1.0,0.04603231212578064,0.18027917396193227,0.17908145677432755,0.012606196358778146,-0.0014996364427483486,0.17381411754870646,0.0015641175493843963,0.014656725695828108,0.01168084021532426,0.015153662490861104,0.010358733437520104,0.017376535650002394,0.00502116138036507,0.016054270841746713,0.017746129509884277
Total Backward Packets,-0.03365144865640576,0.07077311594159966,0.18027917396193227,1.0,0.2389348583483671,0.9936863895627243,0.07974490564951442,-0.02619137366399002,-0.014328871474972887,0.06864861125536999,0.1547895012624846,-0.009219488146103544,0.19482738551561893,0.12447950099298413,-0.013031706040223532,-0.01823220874756854,-0.009194161450428309,0.010555273594803356,0.0712831507006956,-0.0012404758928000437,0.06987282511613463,-0.0021481593719110195,0.018755109730319613,0.0702707765824266,-0.0011729411977128938,0.1006298388811044,0.010539553289290434,0.02292336390200162,0.07542021702332904,-0.005947090648800519,-0.0021806546291528966,,,,0.004084843311915176,-0.006529374082756196,-0.018120037194111274,-0.002534335866258645,-0.026334965285723804,0.13322912992571137,0.05172253100075789,0.15531397532337757,0.1719634228153921,,-0.0013912709167885908,-0.0021806546291528966,,0.04212143736880272,-0.011610951652696228,-0.010358571817694371,,0.02377739971907812,0.029659266103028024,-0.014328871474972887,0.19482738551561893,,,,,,,0.18027917396193227,0.2389348583483671,1.0,0.9936863895627243,0.07088013588249224,0.004852711975253318,0.9513888180349154,0.005340011120215697,0.07639617117292585,0.050930882870307885,0.07104545986414369,0.05959640305379232,0.07835414614095156,0.017872669181123197,0.07053238497262493,0.08220256808183535
Fwd Packets Length Total,0.10256367072448133,0.09971094939691369,0.04603231212578064,0.2389348583483671,1.0,0.1883106616057897,0.6377618239063052,0.1707705417922952,0.3207803821188708,0.6073184845797123,0.36656184282399346,-0.07801614019447217,0.28693209463049707,0.33970300067329007,0.08573787341647157,0.025257334049227434,-0.13082090870479088,-0.07230447029018151,0.07776190232947772,0.00112429990772042,0.0978085728423113,-0.12122614381858927,-0.04631686736743141,0.07507467371238112,0.0014784794377741366,0.23161744730621608,-0.056298223414939216,-0.01199470791887206,0.10719639148887561,-0.060198895675678335,-0.009635117278350633,,,,-0.0431663666011208,-0.00831464913647834,0.027805574713595883,-0.023434664099285407,0.16527132334897765,0.5201380686302138,0.3392869307093266,0.4706702517647332,0.46449739544772967,,-0.008767026954734311,-0.009635117278350633,,-0.044774657002066676,-0.06579898156094754,-0.08209672292048804,,-0.05042424640385902,0.27916940706424187,0.3207803821188708,0.28693209463049707,,,,,,,0.04603231212578064,1.0,0.2389348583483671,0.1883106616057897,0.08073869150759148,0.028444650538754092,0.23105295561825578,-0.03507949131665448,0.1453958916062925,0.1091415439713571,0.15775354053826812,0.10075280753526801,0.10807004455149828,-0.04470209307922725,0.07690640686126127,0.13467132724413625
Bwd Packets Length Total,-0.01323053964935932,0.025452890787681093,0.17908145677432755,0.9936863895627243,0.1883106616057897,1.0,0.04601508157656193,-0.009095833946284266,-0.005692260401711413,0.02511702018962873,0.10031546109635207,-0.005606713095168635,0.15218107379244047,0.07634654785397434,-0.004313890219341841,-0.006182300293041372,-0.010382632613318444,-0.004148936165168255,0.030662266932384087,-0.00042213716149168407,0.024933973490862682,-0.009782193193780936,-0.0012290332827920947,0.02998466283206969,-0.0003991381682220035,0.03887752378712419,-0.0052427007291355595,-8.823419704404254e-05,0.031009385246980874,-0.0037488930976199673,-0.002221259322525878,,,,0.0017023196714364437,-0.0002854062290131483,-0.00610804079931969,-0.0012203789333461578,-0.009095295321853738,0.08696969029247545,0.04987849963500334,0.10497002354122802,0.1291768904102727,,-0.0005791590869852727,-0.002221259322525878,,0.018132163404555004,-0.006621773905792603,-0.005068840823634042,,0.01372184636566521,0.032859270476795634,-0.005692260401711413,0.15218107379244047,,,,,,,0.17908145677432755,0.1883106616057897,0.9936863895627243,1.0,0.04193311273720711,-1.3835562820635221e-05,0.9547892631275816,0.0019566695895946937,0.04863304106047355,0.021819869113578173,0.03810133955948293,0.04442273731053159,0.03576146999303104,0.0025015992713820676,0.03021862586258849,0.03943088640323038
Fwd Packet Length Max,0.32173139414930324,-0.0171672912927535,0.013397401369200836,0.07974490564951442,0.6377618239063052,0.04601508157656193,1.0,0.6098011074468268,0.7530965204662207,0.7078851186350692,0.44014828920589055,-0.13936675788646882,0.315063314605222,0.43516656536754866,0.4698515321205903,0.2922685985477656,-0.27500314487594013,-0.20162999591630607,-0.03317303864182294,-0.0006028415783156105,-0.018775553751651488,-0.2650474164730499,-0.16655563193885065,-0.035738388380839314,0.00010818728787086313,0.19422654867497302,-0.13363385836338673,-0.079910512461647,0.04123090479253051,-0.11202668958165027,-0.018822323682252035,,,,-0.08286079531143979,0.005614702290029267,0.2988754586216996,-0.04314147063946536,0.60403645242239,0.7922088936522481,0.770780693116124,0.5544869021163004,0.5075317524346025,,-0.01631688731154535,-0.018822323682252035,,-0.19312013605189274,-0.14534666470206195,-0.14772436793415375,,-0.14235971260181965,0.7342205987079892,0.7530965204662207,0.315063314605222,,,,,,,0.01339740136920083,0.6377618239063051,0.07974490564951442,0.04601508157656194,0.03787726993557653,0.015321817452763963,0.06539569564955722,-0.09849929332435596,0.05471885297205243,0.004383357431951959,0.033620932036616646,0.05919495364474537,0.017560810333777512,-0.16018810716470694,-0.032019550957179475,0.06999252264776672
Fwd Packet Length Min,0.6233219963077373,-0.3112115728439445,-0.008430801454422363,-0.02619137366399002,0.1707705417922952,-0.009095833946284266,0.6098011074468268,1.0,0.9707486303109346,-0.07047176931416671,-0.12395565582053221,-0.13358942513365582,-0.127424840340719,-0.11628762494708586,0.7507930882547039,0.5064389862297339,-0.29863929728581046,-0.31945515627180515,-0.29633224842651373,0.004162891760439919,-0.30885912851715536,-0.3182098909451885,-0.3162081962323756,-0.2934046734775892,0.004741324217758125,-0.19078350778961578,-0.19350781339364517,-0.19713281134861504,-0.1991604081594007,-0.11939165491748527,-0.09520740518684652,,,,-0.1400944019445236,0.004622114357834227,0.5143284227116376,-0.03928609835503584,0.992448957853645,0.32832477037483243,0.9150380021322904,-0.0962310346957383,-0.08305689940645891,,-0.014861624575020651,-0.09520740518684652,,-0.44400325947890457,-0.2026962663276896,-0.1328218130451295,,-0.2215917693082228,0.9491200708001781,0.9707486303109346,-0.127424840340719,,,,,,,-0.008430801454422368,0.1707705417922952,-0.02619137366399002,-0.009095833946284266,-0.29077987958624213,-0.07952220221696082,-0.028534550641286086,-0.16732988513296057,-0.06729944664385504,-0.09024529064762954,-0.09338734538853923,-0.029141393611223608,-0.27099512643123436,-0.22057454366335477,-0.2905449797701482,-0.23217311186404843
Fwd Packet Length Mean,0.595324348893972,-0.285787183038331,-0.005793500426914693,-0.014328871474972887,0.3207803821188708,-0.005692260401711413,0.7530965204662207,0.9707486303109346,1.0,0.15740049756621968,-0.012695865121397316,-0.13810501443061196,-0.043386282878333585,-0.0020881668932754907,0.7281267498910138,0.4868645244499219,-0.32195319640003617,-0.32499787312137507,-0.27303200144011974,0.003429395252389403,-0.28430983338710264,-0.33754956975148676,-0.3153895116914059,-0.2714354045777457,0.004129532318638991,-0.136947973345135,-0.19932736420844577,-0.19169041255010888,-0.17205345850919623,-0.1267547820133728,-0.05928883177023479,,,,-0.13617144628273717,0.005170633980932527,0.4950501526743942,-0.04375872892243176,0.9630677981969614,0.4615199619939206,0.9472781814170396,0.06795930644474174,0.06801301826658615,,-0.016574692539761394,-0.05928883177023479,,-0.4270220434925933,-0.18743054384906815,-0.14826162815173885,,-0.22547210482013283,0.9645116378933408,1.0,-0.043386282878333585,,,,,,,-0.005793500426914698,0.3207803821188708,-0.014328871474972884,-0.005692260401711413,-0.23657582465366472,-0.05704263016995811,-0.014788150396247333,-0.16184209148175324,-0.04631364352652899,-0.07693022158130632,-0.07186999412687535,-0.012301671481433213,-0.24084808704898614,-0.22968223149568065,-0.26805928290749303,-0.1956733183404013
Fwd Packet Length Std,-0.10451252587151083,0.16512887046876354,0.014380155653508617,0.06864861125536999,0.6073184845797123,0.02511702018962873,0.7078851186350692,-0.07047176931416671,0.15740049756621968,1.0,0.5808550205208419,-0.04950230639366817,0.4380586843074867,0.588660742490002,-0.041888417310356314,-0.049101715304378006,-0.11095362557575811,-0.018340405377228405,0.13415751352386895,-0.0031453011075794632,0.16107083477673925,-0.08742839253539089,0.016273490739103447,0.12834602242584797,-0.002599919089161332,0.31687256357268095,-0.021279196078953108,0.03677562384414242,0.15352373784092468,-0.041267485082494684,0.1054939759416851,,,,0.012149627856311419,0.0034025257950326356,-0.04723491816542075,-0.022419781082495694,-0.07124155051067267,0.6743210243008239,0.20092914814848095,0.7639452472410886,0.6894669461205867,,-0.008502581320233982,0.1054939759416851,,0.09497464748386884,0.016346818982233204,-0.07790388186727205,,-0.016164034751279702,0.12908621072739968,0.1574004975662197,0.4380586843074867,,,,,,,0.014380155653508616,0.6073184845797124,0.06864861125536997,0.02511702018962873,0.2724964108954308,0.10052537170240804,0.06986017318640102,0.016069960390125468,0.09417895257109885,0.05811545227830489,0.09418842206632086,0.07715056109759032,0.17108758144829875,-0.04147877863518803,0.13071421881275694,0.20338264485738045
