,count,mean,std,min,25%,50%,75%,max
Protocol,125170.0,9.898681792761844,5.325326952132006,0.0,6.0,6.0,17.0,17.0
Flow Duration,125170.0,20195348.700878806,30162846.99975353,1.0,351.0,108959.0,44213699.0,119997515.0
Total Fwd Packets,125170.0,9.58470879603739,353.74407367316024,1.0,2.0,4.0,10.0,86666.0
Total Backward Packets,125170.0,5.580162978349445,100.65778562504951,0.0,0.0,2.0,4.0,31700.0
Fwd Packets Length Total,125170.0,796.4942016601562,2842.49462890625,0.0,36.0,72.0,1038.0,208524.0
Bwd Packets Length Total,125170.0,3363.396240234375,180690.453125,0.0,0.0,12.0,36.0,58429504.0
Fwd Packet Length Max,125170.0,192.93057250976562,364.79400634765625,0.0,6.0,6.0,377.0,3625.0
Fwd Packet Length Min,125170.0,121.16959381103516,246.96661376953125,0.0,6.0,6.0,50.0,2131.0
Fwd Packet Length Mean,125170.0,136.85755920410156,251.4129180908203,0.0,6.0,6.0,211.0,2131.0
Fwd Packet Length Std,125170.0,24.50020408630371,91.28524780273438,0.0,0.0,0.0,5.196152210235596,1448.5830078125
Bwd Packet Length Max,125170.0,132.50328063964844,508.8697814941406,0.0,0.0,6.0,6.0,3627.0
Bwd Packet Length Min,125170.0,13.382207870483398,35.87696838378906,0.0,0.0,2.0,6.0,1460.0
Bwd Packet Length Mean,125170.0,44.969791412353516,158.7119140625,0.0,0.0,6.0,6.0,1850.769287109375
Bwd Packet Length Std,125170.0,36.1168212890625,151.8468475341797,0.0,0.0,0.0,0.0,1374.429443359375
Flow Bytes/s,125170.0,87334465.03340141,368816747.63521236,0.0,1.7862284523185474,5124.224021826731,77922.07792207792,2944000000.0
Flow Packets/s,125170.0,174065.8667957029,518982.9255427525,0.0357163744844006,0.34892898850792325,36.893391933122146,10963.410237923576,3000000.0
Flow IAT Mean,125170.0,1519984.75,2309894.5,0.5,129.3333282470703,36210.66796875,3044277.6875,51199892.0
Flow IAT Std,125170.0,2715756.5,3924746.75,0.0,115.31130981445312,60858.060546875,5819967.875,64659444.0
Flow IAT Max,125170.0,7962397.5,12481739.0,1.0,308.0,108614.5,15523809.75,117569200.0
Flow IAT Min,125170.0,9520.0751953125,419604.78125,0.0,1.0,1.0,2.0,51199892.0
Fwd IAT Total,125170.0,20071798.0,30203960.0,0.0,3.0,108182.0,44187016.0,119997512.0
Fwd IAT Mean,125170.0,2054285.875,2953360.0,0.0,2.0,35888.33203125,4826509.5,51199892.0
Fwd IAT Std,125170.0,3064840.5,4485567.0,0.0,0.0,59831.890625,6595114.25,67905824.0
Fwd IAT Max,125170.0,7894636.0,12500828.0,0.0,3.0,107848.0,15519676.25,117616336.0
Fwd IAT Min,125170.0,9002.3173828125,419762.875,0.0,0.0,1.0,2.0,51199892.0
Bwd IAT Total,125170.0,9474003.0,23572302.0,0.0,0.0,1.0,89938.5,119943720.0
Bwd IAT Mean,125170.0,1326132.125,3204984.25,0.0,0.0,1.0,7850.019287109375,50186792.0
Bwd IAT Std,125170.0,2409873.0,5730040.5,0.0,0.0,0.0,16262.14697265625,70974840.0
Bwd IAT Max,125170.0,5708031.0,13494378.0,0.0,0.0,1.0,43169.5,117633432.0
Bwd IAT Min,125170.0,2.220292329788208,8.220770835876465,0.0,0.0,1.0,1.0,206.0
Fwd PSH Flags,125170.0,0.049556603019892946,0.21702793003260384,0.0,0.0,0.0,0.0,1.0
Bwd PSH Flags,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd URG Flags,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd URG Flags,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Header Length,125170.0,-27432572.14939682,283825166.35188556,-17003503552.0,40.0,80.0,200.0,134480904.0
Bwd Header Length,125170.0,-1117600.3500679077,77860535.38014841,-17003494240.0,0.0,40.0,80.0,634024.0
Fwd Packets/s,125170.0,169645.703125,514968.84375,0.009962762705981731,0.2295282706618309,34.4852409362793,5291.00537109375,3000000.0
Bwd Packets/s,125170.0,4420.1748046875,51670.45703125,0.0,0.0,0.07483366876840591,36.27459716796875,2000000.0
Packet Length Min,125170.0,120.41242218017578,245.45956420898438,0.0,6.0,6.0,48.0,1472.0
Packet Length Max,125170.0,270.88897705078125,564.2260131835938,0.0,6.0,6.0,384.0,3627.0
Packet Length Mean,125170.0,149.79705810546875,257.06591796875,0.0,6.0,6.0,339.4285583496094,1721.142822265625
Packet Length Std,125170.0,43.79295349121094,141.57284545898438,0.0,0.0,0.0,21.36117935180664,1293.906494140625
Packet Length Variance,125170.0,21960.53125,104970.9140625,0.0,0.0,0.0,456.29998779296875,1674194.125
FIN Flag Count,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYN Flag Count,125170.0,0.0010226092514180713,0.031962035029247535,0.0,0.0,0.0,0.0,1.0
RST Flag Count,125170.0,0.049556603019892946,0.21702793003260384,0.0,0.0,0.0,0.0,1.0
PSH Flag Count,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACK Flag Count,125170.0,0.4709435168171287,0.4991570006917463,0.0,0.0,0.0,1.0,1.0
URG Flag Count,125170.0,0.16440041543500838,0.3706400090914854,0.0,0.0,0.0,0.0,1.0
CWE Flag Count,125170.0,0.0822241751218343,0.27470704948934194,0.0,0.0,0.0,0.0,1.0
ECE Flag Count,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Down/Up Ratio,125170.0,0.40839657187461853,0.7704951763153076,0.0,0.0,0.0,1.0,15.0
Avg Packet Size,125170.0,197.28912353515625,364.86859130859375,0.0,6.5,9.0,378.1499938964844,2208.0
Avg Fwd Segment Size,125170.0,136.85755920410156,251.4129180908203,0.0,6.0,6.0,211.0,2131.0
Avg Bwd Segment Size,125170.0,44.969791412353516,158.7119140625,0.0,0.0,6.0,6.0,1850.769287109375
Fwd Avg Bytes/Bulk,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Packets/Bulk,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fwd Avg Bulk Rate,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bytes/Bulk,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Packets/Bulk,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bwd Avg Bulk Rate,125170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Subflow Fwd Packets,125170.0,9.58470879603739,353.74407367316024,1.0,2.0,4.0,10.0,86666.0
Subflow Fwd Bytes,125170.0,796.4941759207478,2842.4946192211705,0.0,36.0,72.0,1038.0,208524.0
Subflow Bwd Packets,125170.0,5.580162978349445,100.65778562504951,0.0,0.0,2.0,4.0,31700.0
Subflow Bwd Bytes,125170.0,3363.3962371175203,180690.45373111914,0.0,0.0,12.0,36.0,58429504.0
Init Fwd Win Bytes,125170.0,4470.835112247343,7216.389405014288,-1.0,-1.0,5840.0,5840.0,65535.0
Init Bwd Win Bytes,125170.0,1121.0578972597268,6334.833481124469,-1.0,-1.0,-1.0,0.0,65535.0
Fwd Act Data Packets,125170.0,5.7976751617799795,56.59555420926031,0.0,1.0,3.0,7.0,18766.0
Fwd Seg Size Min,125170.0,-12264797.954278182,113543547.65776117,-1408237563.0,20.0,20.0,20.0,67240452.0
Active Mean,125170.0,79324.9375,461799.65625,0.0,0.0,0.0,36.33333206176758,40508000.0
Active Std,125170.0,77367.3125,387660.03125,0.0,0.0,0.0,31.11269760131836,21352442.0
Active Max,125170.0,182016.984375,835672.5,0.0,0.0,0.0,100.0,45536680.0
Active Min,125170.0,34536.60546875,385241.78125,0.0,0.0,0.0,1.0,40508000.0
Idle Mean,125170.0,6184596.0,10694075.0,0.0,0.0,0.0,12028475.0,117569200.0
Idle Std,125170.0,1507535.75,3169932.25,0.0,0.0,0.0,2178786.625,69614024.0
Idle Max,125170.0,7796018.5,12541445.0,0.0,0.0,0.0,15513141.25,117569200.0
Idle Min,125170.0,4783566.5,9685055.0,0.0,0.0,0.0,7616290.75,117569200.0
